Podolski	VST2	Softsynth	1	0	2018-12-01
TAL-BassLine	VST2	Softsynth	1	0	2017-02-08
Synth1	VST2	Softsynth	1	0	2017-09-22
Dexed	VST2	Softsynth	1	0	2019-07-22
VCV Rack	AAX	Softsynth	1	0	2021-05-12
TyrellN6	VST2	Softsynth	1	0	2018-12-01
Zebralette	VST3	Softsynth	1	0	2018-12-01
Papu	VST2	Softsynth	1	0	2020-01-25
Delay Lama	VST2	Softsynth	1	0	2021-05-12
Ample Guitar M Lite	VST2	ROMpler	1	0	2018-04-04
Ample Bass P Lite 2	VST2	ROMpler	1	0	2019-07-22
Keyzone Classic	VST2	ROMpler	1	0	2020-01-25
LABS Piano	VST3	ROMpler	1	0	2017-06-19
Sforzando	VST2	ROMpler	1	0	2020-05-13
Vital	VST3	Softsynth	1	0	2020-11-24
LABS	VST3	ROMpler	1	0	2017-06-19
PhasePlant	VST3	Softsynth	0	1	2020-11-28
Serum	VST2	Softsynth	0	1	2017-11-29
